"lat" "lon" "nl" "sample" "hhid" "cons" "weight" "rururb" "room" "metal"
-10.9995 33.7092 0.0928109547356409 1 "0364-003" 0.0139328279390616 165.480895996094 "rural" 3 FALSE
-10.9995 33.7092 0.0928109547356409 1 "0376-001" 0.0176915778754096 364.035247802734 "rural" 2 FALSE
-10.9995 33.7092 0.0928109547356409 1 "0356-001" 0.0146828338339287 313.916717529297 "rural" 2 FALSE
-10.9995 33.7092 0.0928109547356409 1 "0360-001" 0.0298236950585475 307.148162841797 "rural" 3 FALSE
-10.9995 33.7092 0.0928109547356409 1 "0368-001" 0.0105447917461558 304.986755371094 "rural" 2 FALSE
-10.9995 33.7092 0.0928109547356409 1 "0380-001" 0.0141014755705164 313.916717529297 "rural" 2 FALSE
-11.001253 33.888657 0.0928109547356409 1 "0374-001" 0.0275182204228782 304.986755371094 "rural" 4 FALSE
-11.01108 33.853183 0.0855838721947509 1 "0171-003" 0.00975710683284572 135.903732299805 "rural" 4 FALSE
-11.014392 33.858825 0.0808724184520363 1 "2988-009" 0.0190856032261304 53.0653762817383 "urban" 1 FALSE
-11.015175 33.864554 0.0828063241106719 1 "0110-003" 0.0112621686258656 144.255111694336 "rural" 2 FALSE
-11.04156 33.934913 0.137330754352031 1 "0305-007" 0.00926785878669425 116.306182861328 "rural" 3 FALSE
-11.0517 33.6871 0.138257575757576 1 "0318-001" 0.00819203872957153 399.574951171875 "rural" 2 FALSE
-11.0517 33.6871 0.138257575757576 1 "0328-001" 0.00754882841455086 411.348297119141 "rural" 1 FALSE
-11.0517 33.6871 0.138257575757576 1 "0336-001" 0.00922089038861855 199.787475585938 "rural" 3 FALSE
-11.0517 33.6871 0.138257575757576 1 "0320-001" 0.00802140044787121 402.153198242188 "rural" 2 FALSE
-11.0517 33.6871 0.138257575757576 1 "0332-001" 0.00583499140812217 402.153198242188 "rural" 3 FALSE
-11.0517 33.6871 0.138257575757576 1 "0324-001" 0.00816797258670522 404.775787353516 "rural" 4 FALSE
-11.0517 33.6871 0.138257575757576 1 "0324-005" 0.0168354190231987 199.787475585938 "rural" 1 FALSE
-11.0517 33.6871 0.138257575757576 1 "0342-001" 0.01566958274227 395.831878662109 "rural" 2 FALSE
-11.0517 33.6871 0.138257575757576 1 "0326-001" 0.00546418657591907 402.153198242188 "rural" 3 FALSE
-11.0517 33.6871 0.138257575757576 1 "0330-001" 0.0101208456606912 407.644348144531 "rural" 1 FALSE
-11.0517 33.6871 0.138257575757576 1 "0346-001" 0.00598520506038601 205.67414855957 "rural" 3 FALSE
-11.0517 33.6871 0.138257575757576 1 "0348-001" 0.00269563904093963 404.775787353516 "rural" 3 FALSE
-11.110604 33.677894 0.02321083172147 1 "0338-001" 0.00511836192099248 404.775787353516 "rural" 3 FALSE
-11.117955 33.718737 0.0247933884297521 1 "0372-001" 0.0115237686158261 313.916717529297 "rural" 3 FALSE
-11.192707 33.745411 0.0198347107438017 1 "2155-001" 0.0157839511250715 1352.83544921875 "rural" 1 FALSE
-11.193366 33.955719 0.0198347107438017 1 "2002-001" 0.00382008533026578 1100.177734375 "rural" 2 FALSE
-11.197652 33.873758 0 1 "0334-001" 0.0134882378211405 416.627532958984 "rural" 1 FALSE
-11.22598 33.888997 0 1 "0607-001" 0.0144315669134649 659.647277832031 "rural" 3 FALSE
-11.229635 33.857466 0 1 "0679-008" 0.00758098307412963 51.2042045593262 "urban" 3 FALSE
-11.231233 33.985359 0 1 "0395-001" 0.0130793453933071 213.360763549805 "rural" 4 FALSE
-11.24644 33.84823 0 1 "0299-005" 0.011420238603618 112.814331054688 "rural" 2 FALSE
-11.257235 33.430646 0 1 "0790-004" 0.0085324651538982 690.07421875 "rural" 4 FALSE
-11.285 33.7785 0 1 "0449-001" 0.0106611387068821 620.79248046875 "rural" 3 FALSE
-11.285 33.7785 0 1 "0477-001" 0.0279581377521795 314.634521484375 "rural" 3 FALSE
-11.285 33.7785 0 1 "0451-001" 0.0206354648072797 339.028564453125 "rural" 4 FALSE
-11.285 33.7785 0 1 "0453-001" 0.0108692125624038 305.517211914062 "rural" 4 FALSE
-11.285 33.7785 0 1 "0467-001" 0.0103535090931629 629.26904296875 "rural" 4 FALSE
-11.285 33.7785 0 1 "0455-002" 0.0279940214747348 624.840881347656 "rural" 2 FALSE
-11.285 33.7785 0 1 "0469-001" 0.0111452818107768 611.034423828125 "rural" 2 FALSE
-11.285 33.7785 0 1 "0457-001" 0.021957908245092 634.986694335938 "rural" 3 FALSE
-11.285 33.7785 0 1 "0471-001" 0.00656579041215577 629.26904296875 "rural" 2 FALSE
-11.285 33.7785 0 1 "0459-002" 0.0100580742681468 629.26904296875 "rural" 3 FALSE
-11.285 33.7785 0 1 "0473-001" 0.0129088344203505 611.034423828125 "rural" 3 FALSE
-11.285 33.7785 0 1 "0461-001" 0.024687767254126 611.034423828125 "rural" 1 FALSE
-11.285 33.7785 0 1 "0475-001" 0.00892964757959675 305.517211914062 "rural" 1 FALSE
-11.285 33.7785 0 1 "0463-001" 0.0173635597662445 616.812561035156 "rural" 3 FALSE
-11.285 33.7785 0 1 "0477-002" 0.0106808951793943 611.034423828125 "rural" 1 FALSE
-11.285 33.7785 0 1 "0479-002" 0.0231599940290571 314.634521484375 "rural" 3 FALSE
-11.3125 33.4799 0 1 "0478-001" 0.00613220810653717 623.538024902344 "rural" 3 FALSE
