"lat" "lon" "nl" "sample" "cluster" "hhid" "weight" "wealthscore"
-10.420592 34.179634 1.045 1 557 "      557 14" 531481 57257
-10.420592 34.179634 1.045 1 557 "      557 30" 531481 -61920
-10.420592 34.179634 1.045 1 557 "      557 16" 531481 -48553
-10.420592 34.179634 1.045 1 557 "      557 15" 531481 -80365
-10.420592 34.179634 1.045 1 557 "      557 22" 531481 -41691
-10.420592 34.179634 1.045 1 557 "      557 23" 531481 65655
-10.420592 34.179634 1.045 1 557 "      557 32" 531481 -60212
-10.420592 34.179634 1.045 1 557 "      557 20" 531481 -6437
-10.420592 34.179634 1.045 1 557 "      557 13" 531481 -56051
-10.420592 34.179634 1.045 1 557 "      557 29" 531481 10231
-10.420592 34.179634 1.045 1 557 "      557  2" 531481 -65469
-10.420592 34.179634 1.045 1 557 "      557  3" 531481 -7068
-10.420592 34.179634 1.045 1 557 "      557 33" 531481 -15120
-10.420592 34.179634 1.045 1 557 "      557 35" 531481 -24242
-10.420592 34.179634 1.045 1 557 "      557  6" 531481 72447
-10.420592 34.179634 1.045 1 557 "      557  9" 531481 47808
-10.420592 34.179634 1.045 1 557 "      557  4" 531481 89461
-10.420592 34.179634 1.045 1 557 "      557  5" 531481 -20636
-10.420592 34.179634 1.045 1 557 "      557 24" 531481 -20753
-10.420592 34.179634 1.045 1 557 "      557 36" 531481 -79825
-10.420592 34.179634 1.045 1 557 "      557 10" 531481 -37009
-10.420592 34.179634 1.045 1 557 "      557 28" 531481 -27039
-10.420592 34.179634 1.045 1 557 "      557 25" 531481 -13217
-10.420592 34.179634 1.045 1 557 "      557 37" 531481 16234
-10.420592 34.179634 1.045 1 557 "      557 27" 531481 -1320
-10.420592 34.179634 1.045 1 557 "      557 26" 531481 -57999
-10.446276 34.212788 1.005 1 449 "      449 36" 469328 45294
-10.446276 34.212788 1.005 1 449 "      449 27" 469328 330327
-10.446276 34.212788 1.005 1 449 "      449 37" 469328 -43038
-10.446276 34.212788 1.005 1 449 "      449 26" 469328 -6299
-10.446276 34.212788 1.005 1 449 "      449  1" 469328 25623
-10.446276 34.212788 1.005 1 449 "      449  2" 469328 15426
-10.446276 34.212788 1.005 1 449 "      449 29" 469328 13463
-10.446276 34.212788 1.005 1 449 "      449 25" 469328 405394
-10.446276 34.212788 1.005 1 449 "      449  6" 469328 206770
-10.446276 34.212788 1.005 1 449 "      449  7" 469328 246265
-10.446276 34.212788 1.005 1 449 "      449  3" 469328 192953
-10.446276 34.212788 1.005 1 449 "      449  5" 469328 299
-10.446276 34.212788 1.005 1 449 "      449 35" 469328 -22026
-10.446276 34.212788 1.005 1 449 "      449 22" 469328 -47559
-10.446276 34.212788 1.005 1 449 "      449  8" 469328 359437
-10.446276 34.212788 1.005 1 449 "      449 10" 469328 35443
-10.446276 34.212788 1.005 1 449 "      449 28" 469328 423316
-10.446276 34.212788 1.005 1 449 "      449 30" 469328 220155
-10.446276 34.212788 1.005 1 449 "      449 23" 469328 65510
-10.446276 34.212788 1.005 1 449 "      449 24" 469328 31517
-10.446276 34.212788 1.005 1 449 "      449 32" 469328 184962
-10.446276 34.212788 1.005 1 449 "      449 21" 469328 143032
-10.446276 34.212788 1.005 1 449 "      449 34" 469328 175970
-10.446276 34.212788 1.005 1 449 "      449 11" 469328 -15391
-10.446276 34.212788 1.005 1 449 "      449 31" 469328 -27579
-10.446276 34.212788 1.005 1 449 "      449 17" 469328 102132
-10.446276 34.212788 1.005 1 449 "      449 33" 469328 168666
-10.446276 34.212788 1.005 1 449 "      449 18" 469328 431016
-10.446276 34.212788 1.005 1 449 "      449 13" 469328 199267
-10.446276 34.212788 1.005 1 449 "      449 20" 469328 32884
-10.475024 34.183006 0.688311688311688 1 210 "      210 30" 393178 -18899
-10.475024 34.183006 0.688311688311688 1 210 "      210 29" 393178 -12863
