"lat" "lon" "nl" "sample" "cluster" "hhid" "weight" "wealthscore"
-1.412562 30.871132 0 1 316 "316 19" 1449162 -72000
-1.412562 30.871132 0 1 316 "316184" 1449162 -58000
-1.412562 30.871132 0 1 316 "316125" 1449162 -89000
-1.412562 30.871132 0 1 316 "316 66" 1449162 -21000
-1.412562 30.871132 0 1 316 "316161" 1449162 -54000
-1.412562 30.871132 0 1 316 "316172" 1449162 -22000
-1.412562 30.871132 0 1 316 "316113" 1449162 -66000
-1.412562 30.871132 0 1 316 "316 90" 1449162 -46000
-1.412562 30.871132 0 1 316 "316255" 1449162 -68000
-1.412562 30.871132 0 1 316 "316 54" 1449162 -74000
-1.412562 30.871132 0 1 316 "316220" 1449162 -59000
-1.412562 30.871132 0 1 316 "316 78" 1449162 -51000
-1.412562 30.871132 0 1 316 "316232" 1449162 -100000
-1.412562 30.871132 0 1 316 "316208" 1449162 -22000
-1.412562 30.871132 0 1 316 "316243" 1449162 -90000
-1.468345 31.734932 0.0935064935064935 1 322 "322100" 1754521 54000
-1.468345 31.734932 0.0935064935064935 1 322 "322131" 1754521 29000
-1.468345 31.734932 0.0935064935064935 1 322 "322142" 1754521 48000
-1.468345 31.734932 0.0935064935064935 1 322 "322213" 1754521 -63000
-1.468345 31.734932 0.0935064935064935 1 322 "322 80" 1754521 33000
-1.468345 31.734932 0.0935064935064935 1 322 "322 90" 1754521 -48000
-1.468345 31.734932 0.0935064935064935 1 322 "322 70" 1754521 15000
-1.468345 31.734932 0.0935064935064935 1 322 "322111" 1754521 -61000
-1.468345 31.734932 0.0935064935064935 1 322 "322121" 1754521 -36000
-1.468345 31.734932 0.0935064935064935 1 322 "322 39" 1754521 -78000
-1.468345 31.734932 0.0935064935064935 1 322 "322 29" 1754521 -50000
-1.468345 31.734932 0.0935064935064935 1 322 "322203" 1754521 -47000
-1.468345 31.734932 0.0935064935064935 1 322 "322 18" 1754521 -44000
-1.468345 31.734932 0.0935064935064935 1 322 "322162" 1754521 -72000
-1.468345 31.734932 0.0935064935064935 1 322 "322193" 1754521 -22000
-1.468345 31.734932 0.0935064935064935 1 322 "322183" 1754521 -17000
-1.468345 31.734932 0.0935064935064935 1 322 "322224" 1754521 -41000
-1.468345 31.734932 0.0935064935064935 1 322 "322172" 1754521 74000
-1.468345 31.734932 0.0935064935064935 1 322 "322152" 1754521 36000
-1.523889 33.811047 0.695652173913043 1 352 "352 31" 839167 25000
-1.523889 33.811047 0.695652173913043 1 352 "352 54" 839167 126000
-1.523889 33.811047 0.695652173913043 1 352 "352 42" 839167 70000
-1.523889 33.811047 0.695652173913043 1 352 "352 46" 839167 259000
-1.523889 33.811047 0.695652173913043 1 352 "352 50" 839167 179000
-1.523889 33.811047 0.695652173913043 1 352 "352 27" 839167 139000
-1.523889 33.811047 0.695652173913043 1 352 "352 69" 839167 119000
-1.523889 33.811047 0.695652173913043 1 352 "352 84" 839167 53000
-1.523889 33.811047 0.695652173913043 1 352 "352 23" 839167 142000
-1.523889 33.811047 0.695652173913043 1 352 "352 65" 839167 118000
-1.523889 33.811047 0.695652173913043 1 352 "352  4" 839167 187000
-1.523889 33.811047 0.695652173913043 1 352 "352 35" 839167 -41000
-1.523889 33.811047 0.695652173913043 1 352 "352 38" 839167 22000
-1.523889 33.811047 0.695652173913043 1 352 "352 77" 839167 104000
-1.523889 33.811047 0.695652173913043 1 352 "352 15" 839167 124000
-1.523889 33.811047 0.695652173913043 1 352 "352  8" 839167 189000
-1.523889 33.811047 0.695652173913043 1 352 "352 61" 839167 -9000
-1.523889 33.811047 0.695652173913043 1 352 "352 80" 839167 -60000
-1.523889 33.811047 0.695652173913043 1 352 "352 73" 839167 35000
-1.523889 33.811047 0.695652173913043 1 352 "352 19" 839167 70000
-1.523889 33.811047 0.695652173913043 1 352 "352 12" 839167 120000
-1.573229 33.843154 0.236647123252368 1 367 "367 59" 1454196 -17000
-1.573229 33.843154 0.236647123252368 1 367 "367 70" 1454196 225000
-1.573229 33.843154 0.236647123252368 1 367 "367 37" 1454196 -3000
-1.573229 33.843154 0.236647123252368 1 367 "367158" 1454196 -101000
-1.573229 33.843154 0.236647123252368 1 367 "367169" 1454196 29000
-1.573229 33.843154 0.236647123252368 1 367 "367180" 1454196 -59000
-1.573229 33.843154 0.236647123252368 1 367 "367 48" 1454196 -52000
-1.573229 33.843154 0.236647123252368 1 367 "367202" 1454196 20000
-1.573229 33.843154 0.236647123252368 1 367 "367213" 1454196 12000
-1.573229 33.843154 0.236647123252368 1 367 "367 81" 1454196 -72000
-1.573229 33.843154 0.236647123252368 1 367 "367 26" 1454196 -79000
-1.573229 33.843154 0.236647123252368 1 367 "367 15" 1454196 -91000
-1.573229 33.843154 0.236647123252368 1 367 "367147" 1454196 29000
-1.573229 33.843154 0.236647123252368 1 367 "367114" 1454196 59000
-1.573229 33.843154 0.236647123252368 1 367 "367224" 1454196 -49000
-1.573229 33.843154 0.236647123252368 1 367 "367191" 1454196 9000
-1.573229 33.843154 0.236647123252368 1 367 "367103" 1454196 -61000
-1.573229 33.843154 0.236647123252368 1 367 "367231" 1454196 14000
-1.573229 33.843154 0.236647123252368 1 367 "367 92" 1454196 -65000
-1.573229 33.843154 0.236647123252368 1 367 "367136" 1454196 59000
-1.573229 33.843154 0.236647123252368 1 367 "367  4" 1454196 -84000
-1.573229 33.843154 0.236647123252368 1 367 "367125" 1454196 29000
-1.591564 34.366813 0.0092835873182694 1 359 "359 28" 1160492 -31000
